Genes	ENTREZ_ID	Genes
NLRP5	126206	NLRP5
NLRP8	126205	NLRP8
NLRP13	126204	NLRP13
NTN5	126147	NTN5
ALDH16A1	126133	ALDH16A1
CPT1C	126129	CPT1C
IZUMO2	126123	IZUMO2
JOSD2	126119	JOSD2
CCDC159	126075	CCDC159
SWSAP1	126074	SWSAP1
ZNF440	126070	ZNF440
ZNF491	126069	ZNF491
ZNF441	126068	ZNF441
ZNF813	126017	ZNF813
OSCAR	126014	OSCAR
PCP2	126006	PCP2
TRAPPC5	126003	TRAPPC5
MBD3L2	125997	MBD3L2
C19orf70	125988	C19orf70
ACER1	125981	ACER1
CALR3	125972	CALR3
COX6B2	125965	COX6B2
OR1M1	125963	OR1M1
OR7G1	125962	OR7G1
OR7D4	125958	OR7D4
RAVER1	125950	RAVER1
CEACAM20	125931	CEACAM20
ZNF543	125919	ZNF543
ZNF816	125893	ZNF816
CLDND2	125875	CLDND2
FAM69C	125704	FAM69C
TTC39C	125488	TTC39C
INO80C	125476	INO80C
LOXHD1	125336	LOXHD1
FAM210A	125228	FAM210A
SLC5A10	125206	SLC5A10
MIEF2	125170	MIEF2
ZSWIM7	125150	ZSWIM7
KRT40	125115	KRT40
KRT222	125113	KRT222
GJD3	125111	GJD3
AFMID	125061	AFMID
TBC1D16	125058	TBC1D16
WDR81	124997	WDR81
MRPL10	124995	MRPL10
EFCAB13	124989	EFCAB13
SPNS2	124976	SPNS2
GGT6	124975	GGT6
ZFP3	124961	ZFP3
C17orf49	124944	C17orf49
CYB5D2	124936	CYB5D2
SLC43A2	124935	SLC43A2
ANKRD13B	124930	ANKRD13B
SEZ6	124925	SEZ6
SGK494	124923	SGK494
SPACA3	124912	SPACA3
B4GALNT2	124872	B4GALNT2
WFIKKN2	124857	WFIKKN2
TMEM132E	124842	TMEM132E
CNTD1	124817	CNTD1
CCDC43	124808	CCDC43
LSM12	124801	LSM12
HEXIM2	124790	HEXIM2
SPATA32	124783	SPATA32
C17orf64	124773	C17orf64
KRBA2	124751	KRBA2
USP43	124739	USP43
OVCA2	124641	OVCA2
CYB5D1	124637	CYB5D1
ZPBP2	124626	ZPBP2
KIF19	124602	KIF19
CD300LB	124599	CD300LB
USH1G	124590	USH1G
CANT1	124583	CANT1
SLC38A10	124565	SLC38A10
MSI2	124540	MSI2
OR4D2	124538	OR4D2
HSF5	124535	HSF5
METTL23	124512	METTL23
TMEM170A	124491	TMEM170A
SNX20	124460	SNX20
EARS2	124454	EARS2
TMEM219	124446	TMEM219
ZNF720	124411	ZNF720
UBALD1	124402	UBALD1
ANKS3	124401	ANKS3
CDYL2	124359	CDYL2
GPR139	124274	GPR139
ZC3H18	124245	ZC3H18
PAQR4	124222	PAQR4
ZG16B	124220	ZG16B
IQCK	124152	IQCK
CCDC78	124093	CCDC78
NOXO1	124056	NOXO1
SPATA33	124045	SPATA33
SPATA2L	124044	SPATA2L
C16orf78	123970	C16orf78
CMTM3	123920	CMTM3
NRN1L	123904	NRN1L
DCUN1D3	123879	DCUN1D3
ACSM2A	123876	ACSM2A
DNAAF1	123872	DNAAF1
FOPNL	123811	FOPNL
NTAN1	123803	NTAN1
C16orf46	123775	C16orf46
PLA2G4E	123745	PLA2G4E
FSD2	123722	FSD2
WHAMM	123720	WHAMM
HYKK	123688	HYKK
AGBL1	123624	AGBL1
NIPA1	123606	NIPA1
LRRC28	123355	LRRC28
HIGD2B	123346	HIGD2B
TARSL2	123283	TARSL2
SLC51B	123264	SLC51B
MTFMT	123263	MTFMT
SENP8	123228	SENP8
C15orf40	123207	C15orf40
LEO1	123169	LEO1
KLHL33	123103	KLHL33
DEGS2	123099	DEGS2
SLC25A29	123096	SLC25A29
SLC24A4	123041	SLC24A4
TC2N	123036	TC2N
TTC8	123016	TTC8
ACOT4	122970	ACOT4
ISCA2	122961	ISCA2
JDP2	122953	JDP2
NOXRED1	122945	NOXRED1
GPHB5	122876	GPHB5
NAA30	122830	NAA30
SOCS4	122809	SOCS4
FRMD6	122786	FRMD6
KLHDC1	122773	KLHDC1
LRR1	122769	LRR1
OR11H6	122748	OR11H6
OR4L1	122742	OR4L1
OR4K14	122740	OR4K14
PSMB11	122706	PSMB11
MRPL52	122704	MRPL52
RNASE8	122665	RNASE8
TPPP2	122664	TPPP2
RNASE11	122651	RNASE11
ADSSL1	122622	ADSSL1
PLD4	122618	PLD4
TRAPPC6B	122553	TRAPPC6B
C14orf28	122525	C14orf28
IFI27L1	122509	IFI27L1
AK7	122481	AK7
ANKRD9	122416	ANKRD9
TDRD9	122402	TDRD9
SPACA7	122258	SPACA7
PRR20A	122183	PRR20A
SLAIN1	122060	SLAIN1
TEX26	122046	TEX26
RXFP2	122042	RXFP2
CSNK1A1L	122011	CSNK1A1L
TEX29	121793	TEX29
SPPL3	121665	SPPL3
FOXN4	121643	FOXN4
ALKBH2	121642	ALKBH2
ANO4	121601	ANO4
SPIC	121599	SPIC
BTBD11	121551	BTBD11
ASCL4	121549	ASCL4
AEBP2	121536	AEBP2
FGD4	121512	FGD4
ERP27	121506	ERP27
HIST4H4	121504	HIST4H4
IKBIP	121457	IKBIP
NEDD1	121441	NEDD1
KRT74	121391	KRT74
OR10A7	121364	OR10A7
GTSF1	121355	GTSF1
SP7	121340	SP7
TPH2	121278	TPH2
OR10AD1	121275	OR10AD1
ZNF641	121274	ZNF641
C12orf54	121273	C12orf54
RHEBL1	121268	RHEBL1
SLC15A4	121260	SLC15A4
TMEM132D	121256	TMEM132D
LRIG3	121227	LRIG3
SDR9C7	121214	SDR9C7
OR10P1	121130	OR10P1
OR2AP1	121129	OR2AP1
C12orf45	121053	C12orf45
FAM186A	121006	FAM186A
TMEM52B	120939	TMEM52B
CCDC38	120935	CCDC38
LRRK2	120892	LRRK2
DEPDC4	120863	DEPDC4
OR56A1	120796	OR56A1
OR56A4	120793	OR56A4
OR52W1	120787	OR52W1
OR2D2	120776	OR2D2
OR2D3	120775	OR2D3
OR8I2	120586	OR8I2
ARL14EP	120534	ARL14EP
DNAJC24	120526	DNAJC24
NXPE2	120406	NXPE2
NXPE1	120400	NXPE1
PIH1D2	120379	PIH1D2
COLCA2	120376	COLCA2
DBX1	120237	DBX1
CYP2R1	120227	CYP2R1
TMEM45B	120224	TMEM45B
TRIM64	120146	TRIM64
FAT3	120114	FAT3
SLC36A4	120103	SLC36A4
OR5P3	120066	OR5P3
OR5P2	120065	OR5P2
OR52K2	119774	OR52K2
OR52M1	119772	OR52M1
OR4B1	119765	OR4B1
OR4X2	119764	OR4X2
OR4C46	119749	OR4C46
C11orf74	119710	C11orf74
OR52R1	119695	OR52R1
OR51F2	119694	OR51F2
OR51S1	119692	OR51S1
OR51A7	119687	OR51A7
OR51L1	119682	OR51L1
OR52J3	119679	OR52J3
OR52E2	119678	OR52E2
CPXM2	119587	CPXM2
SFXN4	119559	SFXN4
PNLIPRP3	119548	PNLIPRP3
ANAPC16	119504	ANAPC16
CLRN3	119467	CLRN3
CALHM3	119395	CALHM3
SFR1	119392	SFR1
GSTO2	119391	GSTO2
LYZL2	119180	LYZL2
AGAP4	119016	AGAP4
PDZD8	118987	PDZD8
SFXN2	118980	SFXN2
ANKRD22	118932	ANKRD22
FRA10AC1	118924	FRA10AC1
COMTD1	118881	COMTD1
MMP21	118856	MMP21
ZFYVE27	118813	ZFYVE27
MORN4	118812	MORN4
PIK3AP1	118788	PIK3AP1
ZNF488	118738	ZNF488
PSTK	118672	PSTK
FAM24A	118670	FAM24A
BTBD16	118663	BTBD16
C10orf90	118611	C10orf90
CFAP70	118491	CFAP70
MSS51	118490	MSS51
CHCHD1	118487	CHCHD1
ZNF511	118472	ZNF511
PRAP1	118471	PRAP1
C10orf71	118461	C10orf71
EXOSC6	118460	EXOSC6
GPR62	118442	GPR62
MUCL1	118430	MUCL1
ANTXR2	118429	ANTXR2
OLFM3	118427	OLFM3
UBE2J2	118424	UBE2J2
TRIM6	117854	TRIM6
ZNF354B	117608	ZNF354B
RFFL	117584	RFFL
PARD3B	117583	PARD3B
TWIST2	117581	TWIST2
RLN3	117579	RLN3
TMC2	117532	TMC2
TMC1	117531	TMC1
TAGAP	117289	TAGAP
CIB3	117286	CIB3
DEFB118	117285	DEFB118
IP6K3	117283	IP6K3
GALNT15	117248	GALNT15
SLC16A10	117247	SLC16A10
FTSJ3	117246	FTSJ3
HRASLS5	117245	HRASLS5
MRGPRX4	117196	MRGPRX4
MRGPRX3	117195	MRGPRX3
MRGPRX2	117194	MRGPRX2
SSX2IP	117178	SSX2IP
RAB3IP	117177	RAB3IP
WFIKKN1	117166	WFIKKN1
DCD	117159	DCD
SH2D1B	117157	SH2D1B
SCGB3A2	117156	SCGB3A2
CATSPER2	117155	CATSPER2
DACH2	117154	DACH2
THEM4	117145	THEM4
CATSPER1	117144	CATSPER1
TADA1	117143	TADA1
AGAP3	116988	AGAP3
AGAP1	116987	AGAP1
AGAP2	116986	AGAP2
ARAP1	116985	ARAP1
ARAP2	116984	ARAP2
ACAP3	116983	ACAP3
ART5	116969	ART5
WDR17	116966	WDR17
MED12L	116931	MED12L
LRG1	116844	LRG1
SLC18B1	116843	SLC18B1
LEAP2	116842	LEAP2
SNAP47	116841	SNAP47
CNTROB	116840	CNTROB
HSPA12B	116835	HSPA12B
RPL39L	116832	RPL39L
PPP1R27	116729	PPP1R27
MRPL54	116541	MRPL54
MRPL53	116540	MRPL53
MRGPRF	116535	MRGPRF
MRGPRE	116534	MRGPRE
APOA5	116519	APOA5
MRGPRD	116512	MRGPRD
MAS1L	116511	MAS1L
FAM129A	116496	FAM129A
TSEN15	116461	TSEN15
CLNK	116449	CLNK
OLIG1	116448	OLIG1
TOP1MT	116447	TOP1MT
GRIN3B	116444	GRIN3B
GRIN3A	116443	GRIN3A
RAB39B	116442	RAB39B
TM4SF18	116441	TM4SF18
ZNF837	116412	ZNF837
IL22RA2	116379	IL22RA2
LYPD1	116372	LYPD1
SLC26A8	116369	SLC26A8
RBP7	116362	RBP7
PANX3	116337	PANX3
C8orf34	116328	C8orf34
ACSM1	116285	ACSM1
MOGAT1	116255	MOGAT1
GINM1	116254	GINM1
TLCD1	116238	TLCD1
ABHD15	116236	ABHD15
COX20	116228	COX20
ZMYND19	116225	ZMYND19
FAM122A	116224	FAM122A
TM4SF19	116211	TM4SF19
TGM7	116179	TGM7
CMTM5	116173	CMTM5
CYYR1	116159	CYYR1
PHACTR3	116154	PHACTR3
FAM210B	116151	FAM210B
NUS1	116150	NUS1
WDR92	116143	WDR92
KLHDC3	116138	KLHDC3
LRRC3B	116135	LRRC3B
ZNF526	116115	ZNF526
FOXP4	116113	FOXP4
DIRC1	116093	DIRC1
DNTTIP1	116092	DNTTIP1
SLC22A12	116085	SLC22A12
BATF2	116071	BATF2
LYSMD3	116068	LYSMD3
LRRC58	116064	LRRC58
OSR2	116039	OSR2
RMI2	116028	RMI2
RNF166	115992	RNF166
ZNF653	115950	ZNF653
CCDC151	115948	CCDC151
TSR3	115939	TSR3
CTHRC1	115908	CTHRC1
NXNL1	115861	NXNL1
RAB3C	115827	RAB3C
WDFY2	115825	WDFY2
DHRS1	115817	DHRS1
IQCD	115811	IQCD
FANCD2OS	115795	FANCD2OS
ARL11	115761	ARL11
DIS3L	115752	DIS3L
C12orf56	115749	C12orf56
RASGRP4	115727	RASGRP4
TRMT61A	115708	TRMT61A
EVI5L	115704	EVI5L
ARHGAP33	115703	ARHGAP33
ALPK2	115701	ALPK2
NOSTRIN	115677	NOSTRIN
KIR3DL3	115653	KIR3DL3
TNFRSF13C	115650	TNFRSF13C
SLC5A11	115584	SLC5A11
FAM46B	115572	FAM46B
ZNF501	115560	ZNF501
ARHGEF25	115557	ARHGEF25
FCHO2	115548	FCHO2
ZNF689	115509	ZNF689
UHRF2	115426	UHRF2
MALSU1	115416	MALSU1
LRRC56	115399	LRRC56
GBP5	115362	GBP5
GBP4	115361	GBP4
LRRC42	115353	LRRC42
FCRL3	115352	FCRL3
FCRL1	115350	FCRL1
GPR146	115330	GPR146
PCMTD1	115294	PCMTD1
FBXO17	115290	FBXO17
SLC25A26	115286	SLC25A26
RAB42	115273	RAB42
DDIT4L	115265	DDIT4L
OMA1	115209	OMA1
KCTD12	115207	KCTD12
ATG4A	115201	ATG4A
ZNF554	115196	ZNF554
SLC26A7	115111	SLC26A7
HAUS1	115106	HAUS1
CCDC124	115098	CCDC124
NT5C3B	115024	NT5C3B
SLC26A9	115019	SLC26A9
ZNF618	114991	ZNF618
VASN	114990	VASN
WDR31	114987	WDR31
FLYWCH2	114984	FLYWCH2
PTPMT1	114971	PTPMT1
TSGA13	114960	TSGA13
MRFAP1L1	114932	MRFAP1L1
GPRASP2	114928	GPRASP2
SMIM19	114926	SMIM19
TMEM123	114908	TMEM123
FBXO32	114907	FBXO32
C1QTNF7	114905	C1QTNF7
C1QTNF6	114904	C1QTNF6
C1QTNF5	114902	C1QTNF5
C1QTNF4	114900	C1QTNF4
C1QTNF3	114899	C1QTNF3
C1QTNF2	114898	C1QTNF2
C1QTNF1	114897	C1QTNF1
OSBPL11	114885	OSBPL11
OSBPL10	114884	OSBPL10
OSBPL9	114883	OSBPL9
OSBPL8	114882	OSBPL8
OSBPL7	114881	OSBPL7
OSBPL6	114880	OSBPL6
OSBPL5	114879	OSBPL5
OSBPL1A	114876	OSBPL1A
SLAMF6	114836	SLAMF6
FHAD1	114827	FHAD1
SMYD4	114826	SMYD4
PWWP2A	114825	PWWP2A
PNMA5	114824	PNMA5
LENG8	114823	LENG8
RHPN1	114822	RHPN1
ZBED9	114821	ZBED9
KLHL29	114818	KLHL29
SORCS1	114815	SORCS1
GALNT13	114805	GALNT13
RNF157	114804	RNF157
MYSM1	114803	MYSM1
TMEM200A	114801	TMEM200A
CCDC85A	114800	CCDC85A
ESCO1	114799	ESCO1
SLITRK1	114798	SLITRK1
TMEM132B	114795	TMEM132B
ELFN2	114794	ELFN2
FMNL2	114793	FMNL2
KLHL32	114792	KLHL32
TUBGCP5	114791	TUBGCP5
STK11IP	114790	STK11IP
SLC25A25	114789	SLC25A25
CSMD3	114788	CSMD3
GPRIN1	114787	GPRIN1
XKR4	114786	XKR4
MBD6	114785	MBD6
CSMD2	114784	CSMD2
LMTK3	114783	LMTK3
BTBD9	114781	BTBD9
PKD1L2	114780	PKD1L2
PGLYRP3	114771	PGLYRP3
PGLYRP2	114770	PGLYRP2
CARD16	114769	CARD16
CYGB	114757	CYGB
LRRC37B	114659	LRRC37B
ERMAP	114625	ERMAP
TIRAP	114609	TIRAP
SLC22A9	114571	SLC22A9
MAL2	114569	MAL2
NLRP3	114548	NLRP3
CGB2	114336	CGB2
CGB1	114335	CGB1
EFHC1	114327	EFHC1
PALM2	114299	PALM2
LACTB	114294	LACTB
SLC2A13	114134	SLC2A13
SIGLEC11	114132	SIGLEC11
UCN3	114131	UCN3
TXNRD3	114112	TXNRD3
TRIM9	114088	TRIM9
TOE1	114034	TOE1
ZIM3	114026	ZIM3
DTX2	113878	DTX2
ZNF257	113835	ZNF257
SLC35A4	113829	SLC35A4
FAM83F	113828	FAM83F
HENMT1	113802	HENMT1
PIK3IP1	113791	PIK3IP1
ZBED6CL	113763	ZBED6CL
ODF3	113746	ODF3
KLHDC7B	113730	KLHDC7B
SDSL	113675	SDSL
MFSD3	113655	MFSD3
ADPRHL1	113622	ADPRHL1
CYP2U1	113612	CYP2U1
CMTM1	113540	CMTM1
HELQ	113510	HELQ
TUBA3D	113457	TUBA3D
TMEM54	113452	TMEM54
AZIN2	113451	AZIN2
SMIM12	113444	SMIM12
TEX261	113419	TEX261
SFT2D1	113402	SFT2D1
SLC52A3	113278	SLC52A3
TMEM106A	113277	TMEM106A
GLCCI1	113263	GLCCI1
LARP4	113251	LARP4
C12orf57	113246	C12orf57
SLC46A1	113235	SLC46A1
KIF12	113220	KIF12
CASC4	113201	CASC4
CHST14	113189	CHST14
ADAT3	113179	ADAT3
SCAMP4	113178	SCAMP4
IZUMO4	113177	IZUMO4
SAAL1	113174	SAAL1
AHNAK2	113146	AHNAK2
CDCA5	113130	CDCA5
MTFR2	113115	MTFR2
PTH2	113091	PTH2
PLCD3	113026	PLCD3
RPUSD1	113000	RPUSD1
KTI12	112970	KTI12
MED8	112950	MED8
CFAP36	112942	CFAP36
NACC1	112939	NACC1
GLB1L3	112937	GLB1L3
VPS26B	112936	VPS26B
PHF21B	112885	PHF21B
TP53RK	112858	TP53RK
L3HYPDH	112849	L3HYPDH
WDR89	112840	WDR89
HOGA1	112817	HOGA1
FDX1L	112812	FDX1L
KRT71	112802	KRT71
GLMP	112770	GLMP
STX1B	112755	STX1B
IL17F	112744	IL17F
RDH13	112724	RDH13
TUBA3E	112714	TUBA3E
FAM71E1	112703	FAM71E1
CMTM7	112616	CMTM7
RWDD2A	112611	RWDD2A
MRAP2	112609	MRAP2
SNX18	112574	SNX18
GTF3C6	112495	GTF3C6
DTD2	112487	DTD2
SAT2	112483	SAT2
ERI2	112479	ERI2
PRRT2	112476	PRRT2
BIRC8	112401	BIRC8
EGLN3	112399	EGLN3
EGLN2	112398	EGLN2
MYL12B	103910	MYL12B
TGS1	96764	TGS1
LIMS3	96626	LIMS3
FNIP1	96459	FNIP1
CEP41	95681	CEP41
PPP1R14A	94274	PPP1R14A
TP53INP1	94241	TP53INP1
EPSTI1	94240	EPSTI1
H2AFV	94239	H2AFV
GNG8	94235	GNG8
FOXQ1	94234	FOXQ1
OPN4	94233	OPN4
ABCC12	94160	ABCC12
RP1L1	94137	RP1L1
ARHGAP12	94134	ARHGAP12
SYTL5	94122	SYTL5
SYTL4	94121	SYTL4
SYTL3	94120	SYTL3
CGB8	94115	CGB8
TMEM203	94107	TMEM203
PAXBP1	94104	PAXBP1
ORMDL3	94103	ORMDL3
ORMDL1	94101	ORMDL1
SFXN5	94097	SFXN5
HSPB9	94086	HSPB9
SFXN1	94081	SFXN1
LENG9	94059	LENG9
SYAP1	94056	SYAP1
ZNF101	94039	ZNF101
FTMT	94033	FTMT
CAMK2N2	94032	CAMK2N2
HTRA3	94031	HTRA3
LRRC4B	94030	LRRC4B
CGB7	94027	CGB7
POM121L2	94026	POM121L2
MUC16	94025	MUC16
TTYH2	94015	TTYH2
PIGS	94005	PIGS
FOXP2	93986	FOXP2
CPA5	93979	CPA5
CLEC6A	93978	CLEC6A
ACTR8	93973	ACTR8
CADPS2	93664	CADPS2
ARHGAP18	93663	ARHGAP18
CAPZA3	93661	CAPZA3
CGB5	93659	CGB5
MYOCD	93649	MYOCD
TJAP1	93643	TJAP1
TBCK	93627	TBCK
TADA2B	93624	TADA2B
MRFAP1	93621	MRFAP1
FBXO44	93611	FBXO44
TBC1D31	93594	TBC1D31
CACNA2D4	93589	CACNA2D4
TRMT10A	93587	TRMT10A
ZFAND4	93550	ZFAND4
SDR42E1	93517	SDR42E1
TPTE2	93492	TPTE2
MAPK1IP1L	93487	MAPK1IP1L
ZNF670	93474	ZNF670
ARMC6	93436	ARMC6
SYCE1	93426	SYCE1
MYL10	93408	MYL10
MMGT1	93380	MMGT1
OPALIN	93377	OPALIN
SP140L	93349	SP140L
MVB12A	93343	MVB12A
HAUS8	93323	HAUS8
LEMD1	93273	LEMD1
CCDC114	93233	CCDC114
PGAP3	93210	PGAP3
C1orf158	93190	C1orf158
IGSF8	93185	IGSF8
PIGM	93183	PIGM
PRDM6	93166	PRDM6
OLFM2	93145	OLFM2
ZNF561	93134	ZNF561
ORAI3	93129	ORAI3
TMEM44	93109	TMEM44
KCNG4	93107	KCNG4
NAPRT	93100	NAPRT
DMKN	93099	DMKN
NEURL3	93082	NEURL3
TEX30	93081	TEX30
COQ10A	93058	COQ10A
PKHD1L1	93035	PKHD1L1
NT5C1B	93034	NT5C1B
B3GNT7	93010	B3GNT7
ZBTB47	92999	ZBTB47
PEX11G	92960	PEX11G
ADAMTSL1	92949	ADAMTSL1
MARS2	92935	MARS2
CCDC102A	92922	CCDC102A
UBE2Q2	92912	UBE2Q2
HNRNPLL	92906	HNRNPLL
IMP4	92856	IMP4
REEP6	92840	REEP6
ZNF276	92822	ZNF276
HIST3H2A	92815	HIST3H2A
CENPBD1	92806	CENPBD1
SHKBP1	92799	SHKBP1
HELB	92797	HELB
DRC1	92749	DRC1
BPIFB1	92747	BPIFB1
SLC38A5	92745	SLC38A5
DNER	92737	DNER
OTOP2	92736	OTOP2
DPH7	92715	DPH7
ARRDC1	92714	ARRDC1
TMEM183A	92703	TMEM183A
TMEM169	92691	TMEM169
FAM114A1	92689	FAM114A1
DTD1	92675	DTD1
MGME1	92667	MGME1
TIFA	92610	TIFA
TIMM50	92609	TIMM50
MOB1B	92597	MOB1B
ZNF764	92595	ZNF764
ASB16	92591	ASB16
G6PC3	92579	G6PC3
FANK1	92565	FANK1
ATXN3L	92552	ATXN3L
SPECC1	92521	SPECC1
LDHAL6B	92483	LDHAL6B
BBIP1	92482	BBIP1
CHMP4C	92421	CHMP4C
RBM18	92400	RBM18
MRRF	92399	MRRF
PXYLP1	92370	PXYLP1
SPSB4	92369	SPSB4
CRB3	92359	CRB3
C1orf105	92346	C1orf105
NAF1	92345	NAF1
GORAB	92344	GORAB
METTL18	92342	METTL18
PRR29	92340	PRR29
STRADA	92335	STRADA
MEX3A	92312	MEX3A
TMEM129	92305	TMEM129
SCGB3A1	92304	SCGB3A1
TMEM132C	92293	TMEM132C
GLYATL1	92292	GLYATL1
CAPN13	92291	CAPN13
ZNF585B	92285	ZNF585B
ZNF461	92283	ZNF461
ATP6AP1L	92270	ATP6AP1L
MRPS36	92259	MRPS36
LMBRD2	92255	LMBRD2
RCSD1	92241	RCSD1
DUSP27	92235	DUSP27
CDHR1	92211	CDHR1
DAPL1	92196	DAPL1
UBTD2	92181	UBTD2
MTG1	92170	MTG1
TMEM88	92162	TMEM88
MTSS1L	92154	MTSS1L
MTDH	92140	MTDH
RIPPLY1	92129	RIPPLY1
DSEL	92126	DSEL
OXNAD1	92106	OXNAD1
INTS4	92105	INTS4
TTC30A	92104	TTC30A
ZC3HAV1L	92092	ZC3HAV1L
GGTLC1	92086	GGTLC1
SNX29	92017	SNX29
SLC25A51	92014	SLC25A51
TPGS1	91978	TPGS1
MYOZ3	91977	MYOZ3
ZNF300	91975	ZNF300
CXorf40A	91966	CXorf40A
COG7	91949	COG7
ARRDC4	91947	ARRDC4
NDUFAF2	91942	NDUFAF2
TIMD4	91937	TIMD4
C11orf52	91894	C11orf52
FDXACB1	91893	FDXACB1
TTC5	91875	TTC5
RFT1	91869	RFT1
MARVELD3	91862	MARVELD3
CALML4	91860	CALML4
CHRDL1	91851	CHRDL1
WDR20	91833	WDR20
EXOC3L4	91828	EXOC3L4
MYLK3	91807	MYLK3
ALKBH8	91801	ALKBH8
CHMP7	91782	CHMP7
NXPE3	91775	NXPE3
CABLES1	91768	CABLES1
NEK9	91754	NEK9
ZNF804A	91752	ZNF804A
LIN52	91750	LIN52
ELMSAN1	91748	ELMSAN1
YTHDC1	91746	YTHDC1
IDI2	91734	IDI2
ACY3	91703	ACY3
LONRF1	91694	LONRF1
SMDT1	91689	SMDT1
CENPL	91687	CENPL
SYT12	91683	SYT12
ZNF845	91664	ZNF845
MYADM	91663	MYADM
NLRP12	91662	NLRP12
ZNF765	91661	ZNF765
BOC	91653	BOC
ATPAF2	91647	ATPAF2
TDRD12	91646	TDRD12
NEXN	91624	NEXN
DEPDC7	91614	DEPDC7
CHURC1	91612	CHURC1
RASL10B	91608	RASL10B
SLFN11	91607	SLFN11
ZNF830	91603	ZNF830
PLXNA4	91584	PLXNA4
RPS19BP1	91582	RPS19BP1
C12orf65	91574	C12orf65
UBXN11	91544	UBXN11
RSAD2	91543	RSAD2
ANKRD44	91526	ANKRD44
PCED1B	91523	PCED1B
COL23A1	91522	COL23A1
ISX	91464	ISX
PKDCC	91461	PKDCC
ACBD5	91452	ACBD5
RNF185	91445	RNF185
RCCD1	91433	RCCD1
CCDC74B	91409	CCDC74B
BTF3L4	91408	BTF3L4
SESTD1	91404	SESTD1
ZNF502	91392	ZNF502
UAP1L1	91373	UAP1L1
ANKRD40	91369	ANKRD40
CDKN2AIPNL	91368	CDKN2AIPNL
LRP5L	91355	LRP5L
DDX60L	91351	DDX60L
DERL3	91319	DERL3
TMEM259	91304	TMEM259
R3HDM4	91300	R3HDM4
C12orf29	91298	C12orf29
LMF2	91289	LMF2
MSANTD3	91283	MSANTD3
BOD1	91272	BOD1
SLC39A13	91252	SLC39A13
GGTLC2	91227	GGTLC2
NUP210L	91181	NUP210L
SCARF2	91179	SCARF2
IGFN1	91156	IGFN1
TIGD7	91151	TIGD7
TMEM67	91147	TMEM67
SLC25A46	91137	SLC25A46
L3MBTL4	91133	L3MBTL4
ZNF682	91120	ZNF682
TRIM47	91107	TRIM47
ANKRD30A	91074	ANKRD30A
CCDC34	91057	CCDC34
AP5B1	91056	AP5B1
CCDC149	91050	CCDC149
DPP9	91039	DPP9
CERS5	91012	CERS5
FMNL3	91010	FMNL3
CREB3L1	90993	CREB3L1
KIFC2	90990	KIFC2
ZNF251	90987	ZNF251
DHX57	90957	DHX57
ADCK2	90956	ADCK2
ESAM	90952	ESAM
TRIM41	90933	TRIM41
ZNF697	90874	ZNF697
IL33	90865	IL33
SPSB3	90864	SPSB3
SPOCD1	90853	SPOCD1
ZNF598	90850	ZNF598
TCEAL8	90843	TCEAL8
ZNF479	90827	ZNF479
PRMT9	90826	PRMT9
ANGEL2	90806	ANGEL2
CEP95	90799	CEP95
PYGO2	90780	PYGO2
PAGE5	90737	PAGE5
FAM104B	90736	FAM104B
SEC11C	90701	SEC11C
CCDC126	90693	CCDC126
LRSAM1	90678	LRSAM1
PPP1R3E	90673	PPP1R3E
TBL1Y	90665	TBL1Y
TGIF2LY	90655	TGIF2LY
ZNF486	90649	ZNF486
COX19	90639	COX19
ZFAND2A	90637	ZFAND2A
N4BP2L1	90634	N4BP2L1
STARD13	90627	STARD13
LYRM7	90624	LYRM7
ZNF439	90594	ZNF439
ZNF700	90592	ZNF700
ZNF625	90589	ZNF625
ZNF799	90576	ZNF799
CCDC74A	90557	CCDC74A
MCU	90550	MCU
STPG1	90529	STPG1
DUOXA1	90527	DUOXA1
SHF	90525	SHF
MLIP	90523	MLIP
YIF1B	90522	YIF1B
SCRN2	90507	SCRN2
LRRC46	90506	LRRC46
TMEM263	90488	TMEM263
ZNF835	90485	ZNF835
GADD45GIP1	90480	GADD45GIP1
ERI1	90459	ERI1
ZNF622	90441	ZNF622
BMF	90427	BMF
ATP6V1E2	90423	ATP6V1E2
KNSTRN	90417	KNSTRN
MCFD2	90411	MCFD2
IFT20	90410	IFT20
TMEM41A	90407	TMEM41A
MED30	90390	MED30
TICRR	90381	TICRR
DCAF15	90379	DCAF15
SAMD1	90378	SAMD1
FAM110B	90362	FAM110B
C5orf30	90355	C5orf30
CTU1	90353	CTU1
FER1L5	90342	FER1L5
ZNF160	90338	ZNF160
ZNF468	90333	ZNF468
EXOC3L2	90332	EXOC3L2
THAP3	90326	THAP3
CCDC97	90324	CCDC97
ZNF766	90321	ZNF766
ZNF616	90317	ZNF616
TGIF2LX	90316	TGIF2LX
TP53I13	90313	TP53I13
KLHL13	90293	KLHL13
EFCAB12	90288	EFCAB12
CEACAM21	90273	CEACAM21
OTULIN	90268	OTULIN
UNC5A	90249	UNC5A
ZNF551	90233	ZNF551
KIAA2013	90231	KIAA2013
UCN2	90226	UCN2
ZSWIM1	90204	ZSWIM1
SNX21	90203	SNX21
WFDC8	90199	WFDC8
SYS1	90196	SYS1
EMILIN3	90187	EMILIN3
FRMD7	90167	FRMD7
HS6ST2	90161	HS6ST2
EFCAB11	90141	EFCAB11
TSPAN18	90139	TSPAN18
BTBD6	90135	BTBD6
KCNH7	90134	KCNH7
